,점포코드,시군구,short_foreign_grade,toddler_grade,property_mean_grade,eldery_rate,pop_change,1인가구수
0,A1,서대문구,2,4,4,2,1,3
1,C331,서대문구,2,4,4,2,1,3
2,C475,서대문구,2,4,4,2,1,3
3,A12,강남구,2,2,1,5,2,2
4,C317,강남구,2,2,1,5,2,2
5,C318,강남구,2,2,1,5,2,2
6,C37,강남구,2,2,1,5,2,2
7,C486,강남구,2,2,1,5,2,2
8,C490,강남구,2,2,1,5,2,2
9,C535,강남구,2,2,1,5,2,2
10,C557,강남구,2,2,1,5,2,2
11,D5,강남구,2,2,1,5,2,2
12,A2,송파구,3,1,2,5,2,2
13,B13,송파구,3,1,2,5,2,2
14,B15,송파구,3,1,2,5,2,2
15,B7,송파구,3,1,2,5,2,2
16,C129,송파구,3,1,2,5,2,2
17,C179,송파구,3,1,2,5,2,2
18,C191,송파구,3,1,2,5,2,2
19,C195,송파구,3,1,2,5,2,2
20,C203,송파구,3,1,2,5,2,2
21,C209,송파구,3,1,2,5,2,2
22,C256,송파구,3,1,2,5,2,2
23,C294,송파구,3,1,2,5,2,2
24,C483,송파구,3,1,2,5,2,2
25,D12,송파구,3,1,2,5,2,2
26,A20,노원구,5,2,4,4,3,3
27,B8,노원구,5,2,4,4,3,3
28,C18,노원구,5,2,4,4,3,3
29,C500,노원구,5,2,4,4,3,3
30,C99,노원구,5,2,4,4,3,3
31,A24,강북구,5,4,5,1,3,4
32,B12,강북구,5,4,5,1,3,4
33,C215,강북구,5,4,5,1,3,4
34,C48,강북구,5,4,5,1,3,4
35,D4,강북구,5,4,5,1,3,4
36,A26,광진구,3,4,4,5,2,2
37,C146,광진구,3,4,4,5,2,2
38,A3,동대문구,3,4,4,2,2,2
39,C1,동대문구,3,4,4,2,2,2
40,C11,동대문구,3,4,4,2,2,2
41,C479,동대문구,3,4,4,2,2,2
42,C561,동대문구,3,4,4,2,2,2
43,A39,용산구,1,4,4,2,2,4
44,C15,용산구,1,4,4,2,2,4
45,A5,관악구,3,3,4,4,2,1
46,A9,영등포구,3,3,2,4,2,3
47,C325,영등포구,3,3,2,4,2,3
48,B1,금천구,4,5,3,4,2,4
49,C471,금천구,4,5,3,4,2,4
50,B10,구로구,3,2,3,4,2,3
51,C356,구로구,3,2,3,4,2,3
52,B14,성동구,4,4,3,3,1,4
53,C163,성동구,4,4,3,3,1,4
54,C499,성동구,4,4,3,3,1,4
55,D7,성동구,4,4,3,3,1,4
56,B41,강서구,4,1,3,4,1,2
57,C176,강서구,4,1,3,4,1,2
58,C231,강서구,4,1,3,4,1,2
59,C434,강서구,4,1,3,4,1,2
60,C484,강서구,4,1,3,4,1,2
61,C104,성북구,3,2,5,2,3,2
62,C121,성북구,3,2,5,2,3,2
63,C181,성북구,3,2,5,2,3,2
64,C491,성북구,3,2,5,2,3,2
65,C496,성북구,3,2,5,2,3,2
66,C114,양천구,5,2,4,5,2,4
67,C253,양천구,5,2,4,5,2,4
68,C128,종로구,2,5,2,1,2,5
69,C236,종로구,2,5,2,1,2,5
70,C142,서초구,2,2,2,5,2,3
71,C319,서초구,2,2,2,5,2,3
72,C35,서초구,2,2,2,5,2,3
73,C143,중랑구,5,3,5,3,3,3
74,C187,강동구,5,2,4,5,5,3
75,C474,강동구,5,2,4,5,5,3
76,C489,강동구,5,2,4,5,5,3
77,C308,마포구,2,3,3,4,1,2
78,C89,마포구,2,3,3,4,1,2
79,D1,마포구,2,3,3,4,1,2
80,D2,마포구,2,3,3,4,1,2
81,C330,은평구,4,2,5,2,1,3
82,C34,은평구,4,2,5,2,1,3
83,C342,도봉구,5,4,5,2,2,4
84,C406,도봉구,5,4,5,2,2,4
85,C532,도봉구,5,4,5,2,2,4
