점포코드,pop_density,marriage,pop_est,gender_est,station
A1,5,4,2,5,5
A12,4,2,2,4,1
A2,1,1,3,4,1
A20,2,2,3,4,3
A24,4,4,3,3,5
A26,4,3,4,4,3
A3,4,4,4,2,4
A39,5,5,3,4,3
A5,1,1,5,1,5
A9,2,3,5,2,3
B1,5,5,4,1,5
B10,3,2,3,2,4
B12,4,4,3,3,5
B13,1,1,3,4,1
B14,4,4,3,4,3
B15,1,1,3,4,1
B41,2,1,1,4,4
B7,1,1,3,4,1
B8,2,2,3,4,3
C1,4,4,4,2,4
C104,2,3,5,4,4
C11,4,4,4,2,4
C114,2,3,1,3,5
C121,2,3,5,4,4
C128,5,5,3,3,2
C129,1,1,3,4,1
C142,5,3,1,4,3
C143,3,3,3,3,4
C146,4,3,4,4,3
C15,5,5,3,4,3
C163,4,4,3,4,3
C176,2,1,1,4,4
C179,1,1,3,4,1
C18,2,2,3,4,3
C181,2,3,5,4,4
C187,3,3,2,3,3
C191,1,1,3,4,1
C195,1,1,3,4,1
C203,1,1,3,4,1
C209,1,1,3,4,1
C215,4,4,3,3,5
C231,2,1,1,4,4
C236,5,5,3,3,2
C253,2,3,1,3,5
C256,1,1,3,4,1
C294,1,1,3,4,1
C308,4,2,4,5,2
C317,4,2,2,4,1
C318,4,2,2,4,1
C319,5,3,1,4,3
C325,2,3,5,2,3
C330,3,3,1,5,3
C331,5,4,2,5,5
C34,3,3,1,5,3
C342,3,4,1,3,5
C35,5,3,1,4,3
C356,3,2,3,2,4
C37,4,2,2,4,1
C406,3,4,1,3,5
C434,2,1,1,4,4
C471,5,5,4,1,5
C474,3,3,2,3,3
C475,5,4,2,5,5
C479,4,4,4,2,4
C48,4,4,3,3,5
C483,1,1,3,4,1
C484,2,1,1,4,4
C486,4,2,2,4,1
C489,3,3,2,3,3
C490,4,2,2,4,1
C491,2,3,5,4,4
C496,2,3,5,4,4
C499,4,4,3,4,3
C500,2,2,3,4,3
C532,3,4,1,3,5
C535,4,2,2,4,1
C557,4,2,2,4,1
C561,4,4,4,2,4
C89,4,2,4,5,2
C99,2,2,3,4,3
D1,4,2,4,5,2
D12,1,1,3,4,1
D2,4,2,4,5,2
D4,4,4,3,3,5
D5,4,2,2,4,1
D7,4,4,3,4,3
