점포코드,pop_density,marriage,pop_est,gender_est,station
B11,4,4,4,2,4
B3,2,3,5,2,3
B4,3,4,1,3,5
B6,4,3,4,4,3
B9,5,4,2,5,5
C108,2,1,1,4,4
C109,1,1,3,4,1
C113,5,3,1,4,3
C115,3,3,1,5,3
C119,1,1,3,4,1
C124,4,2,4,5,2
C127,2,2,3,4,3
C13,1,1,3,4,1
C130,5,4,2,5,5
C133,5,4,2,5,5
C139,2,2,3,4,3
C14,2,3,5,2,3
C141,5,5,3,3,1
C145,5,4,2,5,5
C154,4,2,2,4,1
C162,2,1,1,4,4
C164,4,2,2,4,1
C168,5,5,4,1,5
C174,1,1,3,4,1
C178,3,3,3,3,4
C185,4,2,2,4,1
C19,2,2,3,4,3
C193,1,1,5,1,5
C20,3,4,1,3,5
C211,2,2,3,4,3
C212,4,2,2,4,1
C213,4,4,3,3,5
C218,5,4,2,5,5
C22,5,3,1,4,3
C225,2,2,3,4,3
C242,3,3,3,4,3
C246,2,1,1,4,4
C283,2,2,3,4,3
C300,5,4,2,5,5
C303,2,3,1,3,5
C306,2,1,1,4,4
C310,5,3,1,4,3
C312,4,2,2,4,1
C343,4,4,4,2,4
C361,1,1,3,4,1
C401,3,4,1,3,5
C402,5,5,3,4,3
C412,4,2,4,5,2
C469,5,5,4,1,5
C473,2,1,1,4,4
C476,4,2,4,5,2
C477,1,1,3,4,1
C478,4,3,4,4,3
C482,2,3,5,2,3
C487,4,2,2,4,1
C495,4,3,4,4,3
C504,4,3,4,4,3
C506,1,1,3,4,1
C508,3,3,1,5,3
C513,1,1,5,1,5
C519,1,1,3,4,1
C522,1,1,3,4,1
C531,1,1,3,4,1
C539,1,1,3,4,1
C540,5,5,3,3,2
C571,1,1,3,4,1
C573,4,4,4,2,4
C69,1,1,3,4,1
C74,5,3,1,4,3
C95,4,4,3,4,3
C96,4,2,2,4,1
C97,3,4,1,3,5
D10,2,2,3,4,3
D11,4,3,4,4,3
D3,1,1,3,4,1
D6,4,4,3,3,5
D8,3,3,3,3,4
