"자치구별(1)",2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
"자치구별(1)",합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"합계",-,-1.22,-0.95,-0.78,-0.72,-0.66,-0.63,-0.60,-0.58,-0.55,-0.53,-0.51,-0.48,-0.46,-0.43,-0.41,-0.42,-0.44,-0.47,-0.50,-0.54
"종로구",-,-4.71,-5.20,-6.50,-5.41,-4.43,-3.66,-2.94,-2.66,-2.41,-2.16,-1.88,-1.65,-1.50,-1.32,-1.21,-1.14,-1.23,-1.35,-1.44,-1.58
"중구",-,-4.22,-2.55,-4.57,-4.28,-3.90,-3.57,-3.27,-2.79,-2.45,-2.12,-1.82,-1.65,-1.48,-1.36,-1.27,-1.32,-1.39,-1.48,-1.62,-1.71
"용산구",-,0.33,-5.98,-3.95,-3.39,-2.95,-2.61,-2.33,-2.13,-1.93,-1.81,-1.74,-1.60,-1.52,-1.44,-1.39,-1.39,-1.50,-1.54,-1.63,-1.71
"성동구",-,-7.07,-6.28,-4.67,-3.52,-2.45,-1.58,-0.77,-0.79,-0.79,-0.78,-0.75,-0.73,-0.75,-0.76,-0.82,-0.94,-1.17,-1.38,-1.57,-1.74
"광진구",-,-5.14,-2.73,-3.25,-3.10,-2.93,-2.83,-2.74,-2.62,-2.50,-2.37,-2.21,-2.03,-1.89,-1.74,-1.60,-1.56,-1.60,-1.69,-1.79,-1.92
"동대문구",-,-4.27,-1.08,-3.58,-3.55,-3.47,-3.34,-3.10,-2.78,-2.50,-2.16,-1.86,-1.62,-1.45,-1.31,-1.22,-1.29,-1.41,-1.56,-1.73,-1.92
"중랑구",-,-2.42,-1.74,-1.03,-1.23,-1.37,-1.49,-1.62,-1.53,-1.44,-1.38,-1.33,-1.28,-1.23,-1.21,-1.17,-1.22,-1.30,-1.38,-1.49,-1.59
"성북구",-,-3.81,-0.56,-3.46,-3.60,-3.70,-3.75,-3.73,-3.47,-3.19,-2.91,-2.64,-2.38,-2.17,-1.99,-1.87,-1.85,-1.93,-2.02,-2.11,-2.22
"강북구",-,-7.53,-6.58,-4.15,-3.41,-2.77,-2.22,-1.72,-1.69,-1.66,-1.63,-1.55,-1.47,-1.39,-1.34,-1.30,-1.27,-1.35,-1.44,-1.52,-1.63
"도봉구",-,-7.84,-5.81,-4.36,-3.49,-2.76,-2.12,-1.51,-1.41,-1.33,-1.26,-1.18,-1.15,-1.08,-1.02,-0.99,-1.01,-1.08,-1.15,-1.21,-1.32
"노원구",-,-6.92,-5.29,-4.48,-3.92,-3.40,-2.95,-2.53,-2.37,-2.23,-2.08,-1.97,-1.85,-1.76,-1.64,-1.57,-1.54,-1.57,-1.60,-1.65,-1.71
"은평구",-,-1.72,-1.64,-1.08,-0.96,-0.86,-0.79,-0.75,-0.76,-0.76,-0.78,-0.76,-0.74,-0.72,-0.71,-0.70,-0.73,-0.85,-0.93,-1.03,-1.14
"서대문구",-,-3.14,-1.75,-3.72,-3.24,-2.80,-2.45,-2.07,-1.86,-1.68,-1.48,-1.29,-1.09,-0.95,-0.86,-0.79,-0.83,-0.96,-1.10,-1.25,-1.41
"마포구",-,-1.64,-2.61,-2.67,-2.38,-2.13,-1.93,-1.77,-1.78,-1.77,-1.73,-1.68,-1.59,-1.50,-1.42,-1.36,-1.37,-1.45,-1.57,-1.70,-1.83
"양천구",-,-4.15,-4.95,-2.73,-2.23,-1.80,-1.53,-1.32,-1.36,-1.38,-1.41,-1.42,-1.42,-1.36,-1.33,-1.24,-1.21,-1.24,-1.25,-1.29,-1.31
"강서구",-,-4.40,-3.09,-0.38,-0.25,-0.10,0.02,0.09,0.00,-0.10,-0.18,-0.29,-0.36,-0.43,-0.48,-0.52,-0.63,-0.76,-0.89,-1.03,-1.12
"구로구",-,-3.74,-3.87,-4.97,-3.91,-2.98,-2.23,-1.59,-1.50,-1.42,-1.38,-1.32,-1.29,-1.26,-1.26,-1.23,-1.27,-1.39,-1.48,-1.56,-1.65
"금천구",-,-1.60,0.84,-0.82,-1.61,-2.30,-2.90,-3.41,-3.06,-2.78,-2.56,-2.34,-2.16,-1.98,-1.86,-1.73,-1.69,-1.72,-1.72,-1.80,-1.88
"영등포구",-,4.41,-1.55,-4.75,-4.30,-3.91,-3.61,-3.37,-3.06,-2.83,-2.64,-2.43,-2.29,-2.15,-2.03,-1.89,-1.87,-1.90,-1.96,-2.02,-2.10
"동작구",-,-4.68,-2.05,-1.99,-1.84,-1.71,-1.57,-1.45,-1.39,-1.34,-1.25,-1.15,-1.06,-1.00,-0.93,-0.90,-0.95,-1.11,-1.26,-1.41,-1.59
"관악구",-,-5.37,-1.72,-2.62,-2.70,-2.73,-2.79,-2.83,-2.78,-2.73,-2.59,-2.38,-2.16,-1.95,-1.73,-1.56,-1.49,-1.54,-1.66,-1.81,-2.02
"서초구",-,-6.72,-8.87,-0.73,-0.40,-0.15,-0.04,0.01,-0.25,-0.48,-0.63,-0.76,-0.82,-0.85,-0.86,-0.82,-0.87,-0.94,-1.01,-1.07,-1.15
"강남구",-,-4.57,-0.33,1.82,1.25,0.72,0.11,-0.50,-0.78,-1.06,-1.30,-1.49,-1.60,-1.65,-1.63,-1.59,-1.54,-1.53,-1.47,-1.44,-1.44
"송파구",-,-6.02,0.86,1.79,0.69,-0.27,-1.11,-1.93,-1.81,-1.72,-1.66,-1.63,-1.57,-1.53,-1.47,-1.44,-1.45,-1.52,-1.62,-1.69,-1.74
"강동구",-,5.98,-3.16,-2.09,-1.81,-1.65,-1.57,-1.53,-1.41,-1.33,-1.28,-1.24,-1.20,-1.16,-1.15,-1.13,-1.17,-1.24,-1.33,-1.41,-1.50
